Peak load,Operating reverse,Taipei,Taichung,Kaohsiung,day
31095,5418,24.2,24.3,27.9,3
31680,3593,24.7,26.6,29.2,4
30877,4895,24.6,25.9,28.1,5
27686,5436,25.9,27.9,29.1,6
27673,4962,28.6,27.6,29.3,7
33703,3765,29.3,27.6,30.1,1
34739,3257,29.7,29.2,31,2
35601,3657,31.6,30.3,30.7,3
35959,3703,32,30,30.8,4
35928,4080,32.3,30.2,30.8,5
30923,4190,29.8,30.5,31,6
28305,4744,26.2,27.4,28.9,7
31688,5416,25.4,24.9,29.2,1
33290,3514,27.6,27.6,28.1,2
32816,4112,27.6,27.8,27,3
33465,4175,28.3,28.7,28,4
34963,3567,30.7,30.1,30,5
30553,3602,30.9,30.2,30.3,6
30083,3439,30.8,28.7,30.4,7
35215,3634,31,29.6,30.3,1
35052,4883,29.2,30,27.8,2
33953,4753,29,27.7,28,3
34157,4895,30.4,29.3,29,4
33853,5714,31.3,29,28.1,5
30014,4435,30.6,27.6,29.3,6
29965,4313,31.7,30,28.9,7
35166,4455,31.3,30.3,27.8,1
34886,4166,31.3,29.1,27.7,2
35267,3897,31.5,28.8,29.7,3
34564,4155,30.2,27.9,26.7,4
35638,4332,29.1,29.9,29.6,5
31353,5138,31.2,30.2,30.2,6
30941,3257,31.2,30.2,30.6,7
36261,3637,31.1,30.7,30.7,1
36926,3224,31.4,30.7,31,2
37383,3770,30.5,31.8,30.7,3
35922,4080,29.1,28.8,30.2,4
35484,4510,30.2,28.9,27.7,5
30618,6218,30.1,28.9,26.2,6
29604,5390,29.3,29.2,27.6,7
34488,5758,28.2,29,28.7,1
35004,4766,27.9,27.9,29.3,2
35571,5038,29.2,28.9,29.9,3
35955,4636,30.7,29.7,30.3,4
36523,3897,29.8,30,30.5,5
31207,5346,29.3,27.6,29,6
29654,5714,30,28.3,29.7,7
35554,4924,30.9,29.9,30.8,1
36647,4067,31.4,30.5,30.8,2
36807,3729,31.6,29.8,31.1,3
36482,4042,31.9,28.3,29.4,4
35775,5035,30.8,27.3,28.1,5
31045,5875,30.4,28.6,29.3,6
31333,3818,31.5,29.7,30.1,7
36721,3928,30.8,29.8,29.7,1
36386,4771,30.7,30,29.5,2
36067,4719,29.6,30.4,29.6,3
36331,4317,29.1,29.1,30.1,4
30740,6977,28.9,27.4,30.4,5
31478,4571,32.9,29.8,30.6,6
31064,4187,32.3,28.7,30.6,7
34479,5793,30.7,26.5,29.5,1
33906,4752,31.7,26.9,27.7,2
36100,4064,31.9,29.3,28.4,3
34275,6355,31.5,26.7,29.7,4
34379,6048,31.2,27.1,28,5
30424,6655,32.3,26.2,26.3,6
28616,6143,28.9,26.4,25.5,7
32954,6376,27.4,25.9,25.9,1
33328,6269,28.3,26.5,26.2,2
33542,6430,28.1,27.2,28,3
34983,4824,30.1,28.6,29.5,4
35157,4868,30.5,29.9,30,5
28996,6973,29.1,28.9,27.9,6
28990,5462,30.4,28.5,27.9,7
35049,5354,30.4,28.6,30.1,1
35593,4692,31,28.8,30,2
36507,4094,31.8,30.4,30,3
36368,4056,31.9,29.9,29.3,4
34613,5615,28.8,28.3,27.5,5
30636,4767,30.8,29.4,28.9,6
29629,4982,31.4,28,29.5,7
35383,4606,31.3,28.9,29.9,1
35469,4581,30.6,29.2,29.1,2
33717,5419,27.2,26.6,26.5,3
33277,5876,26.4,26.5,28.8,4
34200,5085,29.2,27.9,28.8,5
30088,4894,29.6,28.3,28.7,6
29047,4192,28.5,28.4,29.5,7
34357,4961,29.4,28.8,29.7,1
34664,4148,30.5,29.2,27.2,2
35341,4575,31.1,29.3,28.9,3
35264,4625,30.3,29.6,29.7,4
29375,4824,29.9,29.2,30,5
28676,4394,29.1,29.5,29.9,6
28191,5387,26.6,28.4,29,7
33228,6025,27.1,28.1,29.2,1
32961,5975,26.7,28.1,29.8,2
32428,6042,26.4,28.2,29.5,3
31508,6893,26,27.1,28.7,4
30594,6345,22.9,25.7,27.8,5
26460,5612,21.2,24.6,27,6
25836,5421,23.6,26.2,27.9,7
29947,6619,24.5,26.5,27.6,1
30106,6616,24.7,26.1,27.8,2
30709,5679,25.7,26.2,28.3,3
31162,5659,25.7,26.6,28.3,4
31255,6244,25.1,27.6,28.3,5
28161,4852,25.1,28,28.8,6
27926,4315,27,27.9,29.3,7
28505,7657,25.3,27,28.6,1
31917,4532,27.8,26.5,28.9,2
33316,4077,28.6,28.1,29,3
33699,3807,28.6,28.4,29,4
33670,4421,28.3,27.7,28.8,5
32451,4561,28.5,27.8,28.1,6
28030,3789,27.9,28.3,28.3,7
32889,3702,28.1,28,28.7,1
32938,4351,27,27.7,28.5,2
32345,4701,25.9,27.9,28.4,3
27817,4405,26,27.1,28.4,4
27177,4490,26,27.2,28.2,5
26962,4742,26.2,27.4,28.1,6
26364,5432,26,27.3,27.8,7
30884,5091,25.1,26.1,28.3,1
30530,5085,23.9,25.5,27.8,2
30329,3984,23.2,25,27.3,3
30179,4582,24,25.4,27.4,4
30172,4810,23.2,25.1,27,5
26430,4788,23,24.4,27.3,6
25233,4420,23.5,24.3,26.7,7
29219,4274,23.1,24.4,26.6,1
30037,3803,24.1,24.7,26.7,2
30286,3779,24.6,25,27.3,3
30343,3829,24.6,25.3,27,4
30131,4120,24.7,25.2,27.2,5
26498,3101,24.2,24.9,26.8,6
25725,2762,24.7,24.7,27,7
30207,4053,24.6,24.6,26.8,1
29624,4616,22.5,23.6,26.6,2
29714,3666,22.9,25.2,26.7,3
30080,3639,23.2,25.3,27.2,4
30331,3930,24.2,26,27.5,5
26705,3378,24.4,25.3,27.1,6
25745,3420,24.2,24.7,27.3,7
29192,3455,23.1,23.8,25.2,1
29247,3769,22.2,24,25.3,2
29422,3344,23.5,24,25.5,3
29601,3752,23.8,23.7,25.3,4
28900,4741,22.4,23.4,25.3,5
25900,3709,21.4,22.3,24.8,6
24716,3032,21.5,21.9,24.4,7
28620,3607,21.5,22.3,24.6,1
29305,3592,23.3,22.7,24.7,2
29360,3300,23.8,22.8,24.9,3
28953,3823,21,22,24.9,4
28764,3150,21.8,22.5,24.4,5
26075,3200,23.7,22.5,24.8,6
25366,2590,24,23.7,26,7
29306,3037,21.9,23,26.2,1
28743,3337,18.4,20.6,24,2
28935,3347,18.8,21.7,24.3,3
29520,2996,20.9,21.9,24,4
29500,2970,22.1,24.4,24.9,5
26796,2695,23.8,23.3,25.8,6
25584,3190,23.8,24.5,26,7
29340,2969,21.5,23.7,25.7,1
29285,3312,20.4,23.3,24.8,2
29312,3565,20.6,22.8,24.8,3
28610,3418,18.3,20.4,23.5,4
28472,3392,19,20.9,22.5,5
25855,3004,21.5,21.4,23.1,6
24836,3425,21.8,22.5,23.5,7
27936,3462,16.9,18.3,21.5,1
28157,3150,17.2,17.6,20.2,2
28474,3053,17.6,18.2,19.9,3
28706,3022,15.3,15.4,17.9,4
28563,3414,15.4,15.5,17.3,5
25824,2901,14.6,16,17.4,6
24750,2956,16.3,17.2,18.9,7
28207,3205,18.8,16.7,20.3,1
28456,3146,20.3,18.5,21.4,2
28397,3202,20,18.7,21.5,3
28422,2998,19.2,19,21.7,4
28370,3154,20.5,18.8,22.2,5
25676,3035,20.5,20,23,6
24717,2812,22.5,20.6,22.9,7
28851,3039,22.1,20.7,23.7,1
29234,3189,23.2,22.2,24.9,2
29085,3254,20.6,21.5,24.5,3
28952,3107,19.7,20.2,22.9,4
28581,3146,18.6,20.2,21.9,5
26352,2815,20.2,20.5,23,6
25115,2747,20,20.9,23.4,7
28787,3330,19.9,20.4,23,1
28996,3284,19.9,20.4,23.6,2
28965,3606,21,21.3,23.4,3
28955,3263,19.8,21.7,24.6,4
27867,3206,15.7,17.9,20.9,5
25349,3153,19.3,19.7,21.5,6
24989,2899,19.2,18.6,21,7
27991,3143,19.9,19.5,22.9,1
27364,3108,15.7,18.3,21.8,2
25335,2790,16,17.3,20.9,3
28223,3080,19.9,18.2,20.8,4
28292,3384,21,18.7,21.2,5
25583,3636,21.1,19.3,21.5,6
24761,2695,22.1,19.8,21.7,7
28644,3009,21.6,20,21.5,1
29144,3104,22.3,20.4,22.8,2
28544,3235,18.4,19.5,22.8,3
